메뉴명,대분류,중분류,내용량,주성분,원재료명 및 함량,알러지 주의,나트륨,탄수화물,당류,지방,트랜스지방,포화지방,콜레스테롤,단백질,영양성분 기준치 대비 나트륨,영양성분 기준치 대비 탄수화물,영양성분 기준치 대비 당류,영양성분 기준치 대비 지방,영양성분 기준치 대비 트랜스지방,영양성분 기준치 대비 포화지방,영양성분 기준치 대비 콜레스테롤,영양성분 기준치 대비 단백질,식품의 유형,생산자 및 소재지,메뉴구성,식이섬유,영양성분 기준치 대비 식이섬유
두툼 떡갈비 정식,도시락/덮밥,300샐러드Meal&정성한상 MIX식단(2주),"총 내용량 394g, 635kcal","떡갈비, 우엉채조림 / 고구마맛탕, 애호박, 볶음김치, 모듬야채장아찌 / 흑미밥으로 구성된 도시락","원재료명 및 함량 : 쌀(국산), 분쇄가공육제품[돼지고기(국산), 흑설탕, 두류가공품(중국산), 양념소스NM, 옥수수전분], 김치[절임배추(배추:국산), 설탕, 무, 멸치액젓, 고춧가루(국산)], 애호박, 절임식품(무, 오이, 양파, 양조간장, 설탕), 고구마, 조림류1, 조림류2, 소스1, 양파, 찰흑미, 콩기름, 당류가공품, 홍고추, 은행, 마늘, 참기름, 소스2, 볶음흑임자, 소스3, 정제소금, 볶음참깨, 정제수
[우유, 땅콩, 대두, 밀, 돼지고기, 호두, 쇠고기 함유]
* 이 제품은 알류(계란), 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 아황산류, 닭고기, 오징어, 조개류(굴·전복·홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[우유, 땅콩, 대두, 밀, 돼지고기, 호두, 쇠고기 함유]",1100mg,103g,11g,17g,0g,4.7g,15mg,18g,55%,32%,11%,31%,-%,31%,5%,33%,즉석섭취식품,㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6,,,
베이컨 & 그릴드 베지 샐러드 M,도시락/덮밥,300샐러드Meal&정성한상 MIX식단(2주),"총 내용량 238g, 드레싱62kcal포함 총 288kcal",베이컨류 8.40%,"원재료명 및 함량 : 신선편의식품[프릴아이스(국산), 적근대(국산), 케일, 라디치오], 옥수수(베트남산),당근(중국산),즉석섭취식품(감자, 샐러드베이스, 변성전분1, 분말유크림, 기타가공품),소스[마요네즈,우유,건조팔마산분말,양파,유장분말],베이컨류[돼지고기, 천일염, 설탕, 함수결정포도당, 혼합제제(폴리인산나트륨, 메타인산나트륨, 피로인산나트륨)], 새송이버섯, 브로콜리,콩기름,과채가공품,복합조미식품
[알류(계란), 우유, 대두, 밀, 돼지고기, 쇠고기 함유]
*이 제품은 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 아황산류, 호두, 닭고기, 오징어, 조개류(굴, 전복, 홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[알류(계란), 우유, 대두, 밀, 돼지고기, 쇠고기 함유]",732mg,13g,11g,19g,0g,7g,24mg,17g,37%,4%,11%,35%,-%,46%,8%,31%,즉석섭취식품,*제조원 : ㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6 *유통전문판매원 : 풀무원식품(주) / 충북 음성군 대소면 삼양로 730-27,,,
보코치니 단호박 샐러드 M,도시락/덮밥,300샐러드Meal&정성한상 MIX식단(2주),"총 내용량 220g, 드레싱62kcal포함 총 322kcal","단호박25.60%, 자연치즈11.36%","원재료명 및 함량 : 단호박(중국산),신선편의식품{프릴아이스(국산),적근대(국산),케일,라디치오},방울토마토(국산),소스(마요네즈, 우유, 건조팔마산분말, 양파, 유장분말),자연치즈[후레쉬모짜렐라커드,정제소금,소브산칼륨(보존료)],호두,캐슈넛,마가린,당절임,설탕,계피가루
[알류(계란), 우유, 대두, 밀, 토마토, 호두 함유]
*이 제품은 메밀, 땅콩, 고등어, 게, 새우, 돼지고기, 복숭아, 아황산류, 닭고기, 쇠고기, 오징어, 조개류(굴, 전복, 홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[알류(계란), 우유, 대두, 밀, 토마토, 호두 함유]",366mg,19g,9g,22g,0g,10g,22mg,13g,18%,6%,9%,40%,-%,66%,7%,23%,즉석섭취식품,*제조원 : ㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6 *유통전문판매원 : 풀무원식품(주) / 충북 음성군 대소면 삼양로 730-27,,,
산나물 비빔밥,도시락/덮밥,300샐러드Meal&정성한상 MIX식단(2주),"총 내용량 375g, 575kcal","도라지채나물, 생취나물, 건가지나물 / 두부구이, 청포묵, 당근채, 우엉고추장 / 찰보리밥으로 구성된 도시락 (소포장 참기름 포함)","원재료명 및 함량 : 쌀(국산), 두부[대두(외국산), 조재해수염화마그네슘, 현미유, 올리브유], 건가지나물[건가지(중국산), 물엿, 콩기름(대두유:외국산), 한식간장, 마늘], 묵류(녹두전분, 정제소금), 도라지나물(도라지(중국산), 콩기름, 마늘, 가공소금, 설탕), 생취나물무침(취나물(국산), 마늘, 가공소금, 설탕, 참기름), 소스1, 당근, 찰보리, 콩기름, 분쇄가공육제품, 고소한참기름, 조림류1, 양파, 참기름, 볶음참깨, 홍고추, 소스2, 양조간장, 조미김, 정제소금, 가공소금, 정제수
[우유, 대두, 밀, 쇠고기 함유]
* 이 제품은 알류(계란), 메밀, 땅콩, 고등어, 게, 새우, 돼지고기, 복숭아, 토마토, 아황산류, 호두, 닭고기, 오징어, 조개류(굴·전복·홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[우유, 대두, 밀, 쇠고기 함유]",1040mg,90g,5g,17g,0g,3.3g,5mg,16g,52%,28%,5%,31%,-%,22%,2%,29%,즉석섭취식품,㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6,,,
소 불고기 전골 정식,도시락/덮밥,300샐러드Meal&정성한상 MIX식단(2주),"총 내용량 519g, 600kcal","아삭한 숙주와 알배추, 두부, 단호박구이, 고추튀김을 곁들인 달큰한 소불고기 전골 / 기장밥으로 구성된 도시락","원재료명 및 함량 : 쌀(국산), 두부[대두(외국산), 조제해수염화마그네숨, 현미유, 올리브유], 양념육[소고기/앞다리(미국산), 소불고기양념소스{양조간장(탈지대두:외국산)}], 숙주, 알배추, 기타가공품, 단호박, 소스1, 찰기장, 대파, 콩기름, 들기름, 냉동대파, 소스2, 양파, 홍고추, 젤라틴, 소스3, 볶음참깨, 정제소금, 정제수
[우유, 대두, 밀, 돼지고기, 토마토, 닭고기, 쇠고기, 조개류 함유]
* 이 제품은 알류(계란), 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 아황산류, 호두, 오징어, 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[우유, 대두, 밀, 돼지고기, 토마토, 닭고기, 쇠고기, 조개류 함유]",960mg,87g,4g,18g,0.5g,4.2g,40mg,23g,48%,27%,4%,33%,-%,28%,13%,42%,즉석섭취식품,㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6,(별도로 물을 넣지 않아도 전자레인지 조리 후 고형 육수가 풀어지며 자작한 육수가 됩니다.),,
숯불 닭구이 정식,도시락/덮밥,300샐러드Meal&정성한상 MIX식단(2주),"총 내용량 407g, 630kcal","매콤한 숯불닭구이&깻잎채 / 고구마맛탕, 콩나물무침, 백김치, 콘샐러드 / 기장밥으로 구성된 도시락","원재료명 및 함량 : 숯불닭갈비[닭고기/안심(국산), 소스{토마토케찹(토마토페이스트:외국산)}, 기타주류, 물엿, 설탕], 쌀(국산), 김치[백맛묵은지{절임배추(배추:국산)}, 대파(중국산), 콩기름, 설탕, 마늘], 즉석섭취식품[스위트콘(태국산), 양파(중국산), 설탕, 당근, 샐러드베이스], 콩나물, 고구마, 조림류, 양파, 찰기장, 소스1, 양배추, 청상추, 콩기름, 당류가공품, 과채가공품, 깻잎, 당근, 참기름, 소스2, 복합조미식품, 볶음흑임자, 볶음참깨, 고춧가루, 양조간장, 혼합제제(덱스트린, 변성전분, 잔탄검, 구아검), 정제소금, 정제수
[알류(계란), 우유, 땅콩, 대두, 밀, 새우, 돼지고기, 토마토, 호두, 닭고기, 쇠고기, 조개류(굴) 함유]
* 이 제품은 메밀, 고등어, 게, 복숭아, 아황산류, 오징어, 조개류(전복·홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[알류(계란), 우유, 땅콩, 대두, 밀, 새우, 돼지고기, 토마토, 호두, 닭고기, 쇠고기, 조개류(굴) 함유]",950mg,99g,16g,15g,0g,2.9g,35mg,25g,48%,31%,16%,28%,-%,19%,12%,45%,즉석섭취식품,㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6,,,
숯불 소이 불고기 유부 채 샐러드 M,도시락/덮밥,300샐러드Meal&정성한상 MIX식단(2주),"총 내용량 210g, 드레싱34kcal포함 총 286kcal","콩단백숯불직화구이 15.50%, 유부채슬라이스9.64%","원재료명 및 함량 : 신선편의식품[프릴아이스(국산), 적근대(국산), 케일, 라디치오], 콩단백숯불직화구이[소스{양조간장(탈지대두<외국산:인도, 미국, 중국 등>)}, 쌀콩단백(대만산), 대두유], 소스1[설탕,발효식초,양조간장{탈지대두(외국산:인도,미국,중국 등)},미향{레몬식초(레몬농축과즙:이스라엘산)},레몬과즙A], 유부채슬라이스(대두, 대두유, 황산칼슘, 염화칼슘, 염화마그네슘), 방울토마토, 양파, 냉동브로컬리,조림류, 황색파프리카, 소스2, 콩기름, 과채가공품, 참기름, 볶음참깨, 고춧가루
[우유, 대두, 밀, 토마토, 아황산류, 닭고기 함유]
*이 제품은 알류(계란), 메밀, 땅콩, 고등어, 게, 새우, 돼지고기, 복숭아, 호두, 쇠고기, 오징어, 조개류(굴, 전복, 홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[우유, 대두, 밀, 토마토, 아황산류, 닭고기 함유]",813mg,25g,13g,13g,0g,2.6g,0mg,17g,41%,8%,13%,24%,-%,17%,1%,31%,즉석섭취식품,*제조원 : ㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6 *유통전문판매원 : 풀무원식품(주) / 충북 음성군 대소면 삼양로 730-27,,,
칠리 빈 닭 가슴살 소시지 샐러드 M,도시락/덮밥,300샐러드Meal&정성한상 MIX식단(2주),"총 내용량 235g, 드레싱22kcal포함 총 219kcal","아메리칸칠리소스12.77%,닭가슴살페퍼소시지12.77%(닭가슴살 86.68%),베이크드빈스4.26%(강낭콩53%)","원재료명 및 함량 : 신선편의식품[프릴아이스(국산),적근대(국산),케일,라디치오],과채가공품(프랑스산/호박,가지,홍피망,해바라기유),감자(베트남산),쉐프원살사소스(토마토케첩,양파1,다이스드토마토,설탕,청피망),닭가슴살페퍼소시지[닭가슴살(국산),혼합제제1(변성전분,덱스트린),설탕,복합조미식품1,정제소금],토마토드레싱(찹토마토,설탕,발효식초,피쉬액젓,기타과당),베이크드빈스(강낭콩:이탈리아산),콩기름,정제소금
[우유,대두,밀,토마토,닭고기,쇠고기 함유]
*이 제품은 알류(계란), 메밀, 땅콩, 고등어, 게, 새우, 돼지고기, 복숭아, 아황산류, 호두, 오징어, 조개류(굴,전복·홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[우유,대두,밀,토마토,닭고기,쇠고기 함유]",658mg,28g,19g,6g,0g,1.1g,13mg,13g,33%,9%,19%,12%,-%,7%,4%,23%,즉석섭취식품,*제조원 : ㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6 *유통전문판매원 : 풀무원식품(주) / 충북 음성군 대소면 삼양로 730-27,,,
큐브 스테이크 정식,도시락/덮밥,300샐러드Meal&정성한상 MIX식단(2주),"총 내용량 437g, 615kcal","큐브스테이크, 매쉬드포테이토, 2가지 색의 파프리카 / 숙주팽이버섯볶음, 닭가슴살 소세지, 볶음깍두기, 유자단무지&양배추채 / 발아현미밥으로 구성된 도시락","원재료명 및 함량 : 쌀(국산), 분쇄가공육제품[돈후지슬라이스(돼지고기:국산), 소스{혼합간장(탈지대두<외국산:미국산, 중국산>)}, 설탕, 물엿, 옥수수전분], 소시지[닭고기(닭가슴살:국산), 혼합제제1{변성전분(타피오카초산), 덱스트린}, 설탕, 복합조미식품1(정제소금:중국산), 정제소금], 김치(우리땅깍두기, 볶음깍두기용양념, 옥배유, 젖산), 즉석섭취식품, 숙주, 소스1, 팽이버섯, 양송이버섯, 양파, 절임식품, 양배추, 소스2, 발아현미, 황파프리카, 청피망, 과채가공품, 참기름, 콩기름, 소스3, 볶음참깨, 소스4, 파슬리, 양조간장, 정제수
[알류(계란), 우유, 대두, 밀, 돼지고기, 토마토, 닭고기, 쇠고기, 조개류(굴) 함유]
* 이 제품은 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 아황산류, 호두, 오징어, 조개류(전복·홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[알류(계란), 우유, 대두, 밀, 돼지고기, 토마토, 닭고기, 쇠고기, 조개류(굴) 함유]",1080mg,98g,21g,15g,0g,3.9g,40mg,22g,54%,30%,21%,28%,-%,26%,13%,40%,즉석섭취식품,㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6,,,
핫 닭 퐁듀 샐러드 M,도시락/덮밥,300샐러드Meal&정성한상 MIX식단(2주),"총 내용량 219g, 드레싱44kcal포함 총 185kcal","분쇄가공육제품11.75%(닭가슴살85.28%),에멘탈퐁듀소스6.85%,맵짱소스4.23%","원재료명 및 함량 : 신선편의식품[프릴아이스(국산),적근대(국산),케일,라디치오],분쇄가공육제품[닭가슴살(국산),소스{혼합간장(탈지대두:외국산)},복합조미식품1,설탕,전분],시트러스유자드레싱[유자당절임(유자:국산), 올리고당, 발효식초(이탈리아산), 카놀라유, 감귤농축액],과채가공품(파인애플,설탕,구연산),그린빈스,방울토마토,브로콜리,에멘탈퐁듀소스(자연치즈,유크림,기타가공품,산도조절제,혼합분유),컬리플라워,맵짱소스
[우유, 대두, 밀, 토마토, 아황산류, 닭고기,쇠고기 함유]
*이 제품은 알류(계란), 메밀, 땅콩, 고등어, 게, 새우, 돼지고기, 복숭아, 호두,, 오징어, 조개류(굴·전복·홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[우유, 대두, 밀, 토마토, 아황산류, 닭고기,쇠고기 함유]",457mg,18g,14g,9g,0g,3.9g,27mg,9g,23%,6%,14%,16%,-%,26%,9%,16%,즉석섭취식품,*제조원 : ㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6 *유통전문판매원 : 풀무원식품(주) / 충북 음성군 대소면 삼양로 730-27,,,
두툼 떡갈비 정식,도시락/덮밥,300샐러드Meal&정성한상 MIX식단(4주),"총 내용량 394g, 635kcal","떡갈비, 우엉채조림 / 고구마맛탕, 애호박, 볶음김치, 모듬야채장아찌 / 흑미밥으로 구성된 도시락","원재료명 및 함량 : 쌀(국산), 분쇄가공육제품[돼지고기(국산), 흑설탕, 두류가공품(중국산), 양념소스NM, 옥수수전분], 김치[절임배추(배추:국산), 설탕, 무, 멸치액젓, 고춧가루(국산)], 애호박, 절임식품(무, 오이, 양파, 양조간장, 설탕), 고구마, 조림류1, 조림류2, 소스1, 양파, 찰흑미, 콩기름, 당류가공품, 홍고추, 은행, 마늘, 참기름, 소스2, 볶음흑임자, 소스3, 정제소금, 볶음참깨, 정제수
[우유, 땅콩, 대두, 밀, 돼지고기, 호두, 쇠고기 함유]
* 이 제품은 알류(계란), 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 아황산류, 닭고기, 오징어, 조개류(굴·전복·홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[우유, 땅콩, 대두, 밀, 돼지고기, 호두, 쇠고기 함유]",1100mg,103g,11g,17g,0g,4.7g,15mg,18g,55%,32%,11%,31%,-%,31%,5%,33%,즉석섭취식품,㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6,,,
베이컨 & 그릴드 베지 샐러드 M,도시락/덮밥,300샐러드Meal&정성한상 MIX식단(4주),"총 내용량 238g, 드레싱62kcal포함 총 288kcal",베이컨류 8.40%,"원재료명 및 함량 : 신선편의식품[프릴아이스(국산), 적근대(국산), 케일, 라디치오], 옥수수(베트남산),당근(중국산),즉석섭취식품(감자, 샐러드베이스, 변성전분1, 분말유크림, 기타가공품),소스[마요네즈,우유,건조팔마산분말,양파,유장분말],베이컨류[돼지고기, 천일염, 설탕, 함수결정포도당, 혼합제제(폴리인산나트륨, 메타인산나트륨, 피로인산나트륨)], 새송이버섯, 브로콜리,콩기름,과채가공품,복합조미식품
[알류(계란), 우유, 대두, 밀, 돼지고기, 쇠고기 함유]
*이 제품은 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 아황산류, 호두, 닭고기, 오징어, 조개류(굴, 전복, 홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[알류(계란), 우유, 대두, 밀, 돼지고기, 쇠고기 함유]",732mg,13g,11g,19g,0g,7g,24mg,17g,37%,4%,11%,35%,-%,46%,8%,31%,즉석섭취식품,*제조원 : ㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6 *유통전문판매원 : 풀무원식품(주) / 충북 음성군 대소면 삼양로 730-27,,,
보코치니 단호박 샐러드 M,도시락/덮밥,300샐러드Meal&정성한상 MIX식단(4주),"총 내용량 220g, 드레싱62kcal포함 총 322kcal","단호박25.60%, 자연치즈11.36%","원재료명 및 함량 : 단호박(중국산),신선편의식품{프릴아이스(국산),적근대(국산),케일,라디치오},방울토마토(국산),소스(마요네즈, 우유, 건조팔마산분말, 양파, 유장분말),자연치즈[후레쉬모짜렐라커드,정제소금,소브산칼륨(보존료)],호두,캐슈넛,마가린,당절임,설탕,계피가루
[알류(계란), 우유, 대두, 밀, 토마토, 호두 함유]
*이 제품은 메밀, 땅콩, 고등어, 게, 새우, 돼지고기, 복숭아, 아황산류, 닭고기, 쇠고기, 오징어, 조개류(굴, 전복, 홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[알류(계란), 우유, 대두, 밀, 토마토, 호두 함유]",366mg,19g,9g,22g,0g,10g,22mg,13g,18%,6%,9%,40%,-%,66%,7%,23%,즉석섭취식품,*제조원 : ㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6 *유통전문판매원 : 풀무원식품(주) / 충북 음성군 대소면 삼양로 730-27,,,
산나물 비빔밥,도시락/덮밥,300샐러드Meal&정성한상 MIX식단(4주),"총 내용량 375g, 575kcal","도라지채나물, 생취나물, 건가지나물 / 두부구이, 청포묵, 당근채, 우엉고추장 / 찰보리밥으로 구성된 도시락 (소포장 참기름 포함)","원재료명 및 함량 : 쌀(국산), 두부[대두(외국산), 조재해수염화마그네슘, 현미유, 올리브유], 건가지나물[건가지(중국산), 물엿, 콩기름(대두유:외국산), 한식간장, 마늘], 묵류(녹두전분, 정제소금), 도라지나물(도라지(중국산), 콩기름, 마늘, 가공소금, 설탕), 생취나물무침(취나물(국산), 마늘, 가공소금, 설탕, 참기름), 소스1, 당근, 찰보리, 콩기름, 분쇄가공육제품, 고소한참기름, 조림류1, 양파, 참기름, 볶음참깨, 홍고추, 소스2, 양조간장, 조미김, 정제소금, 가공소금, 정제수
[우유, 대두, 밀, 쇠고기 함유]
* 이 제품은 알류(계란), 메밀, 땅콩, 고등어, 게, 새우, 돼지고기, 복숭아, 토마토, 아황산류, 호두, 닭고기, 오징어, 조개류(굴·전복·홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[우유, 대두, 밀, 쇠고기 함유]",1040mg,90g,5g,17g,0g,3.3g,5mg,16g,52%,28%,5%,31%,-%,22%,2%,29%,즉석섭취식품,㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6,,,
소 불고기 전골 정식,도시락/덮밥,300샐러드Meal&정성한상 MIX식단(4주),"총 내용량 519g, 600kcal","아삭한 숙주와 알배추, 두부, 단호박구이, 고추튀김을 곁들인 달큰한 소불고기 전골 / 기장밥으로 구성된 도시락","원재료명 및 함량 : 쌀(국산), 두부[대두(외국산), 조제해수염화마그네숨, 현미유, 올리브유], 양념육[소고기/앞다리(미국산), 소불고기양념소스{양조간장(탈지대두:외국산)}], 숙주, 알배추, 기타가공품, 단호박, 소스1, 찰기장, 대파, 콩기름, 들기름, 냉동대파, 소스2, 양파, 홍고추, 젤라틴, 소스3, 볶음참깨, 정제소금, 정제수
[우유, 대두, 밀, 돼지고기, 토마토, 닭고기, 쇠고기, 조개류 함유]
* 이 제품은 알류(계란), 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 아황산류, 호두, 오징어, 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[우유, 대두, 밀, 돼지고기, 토마토, 닭고기, 쇠고기, 조개류 함유]",960mg,87g,4g,18g,0.5g,4.2g,40mg,23g,48%,27%,4%,33%,-%,28%,13%,42%,즉석섭취식품,㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6,(별도로 물을 넣지 않아도 전자레인지 조리 후 고형 육수가 풀어지며 자작한 육수가 됩니다.),,
숯불 닭구이 정식,도시락/덮밥,300샐러드Meal&정성한상 MIX식단(4주),"총 내용량 407g, 630kcal","매콤한 숯불닭구이&깻잎채 / 고구마맛탕, 콩나물무침, 백김치, 콘샐러드 / 기장밥으로 구성된 도시락","원재료명 및 함량 : 숯불닭갈비[닭고기/안심(국산), 소스{토마토케찹(토마토페이스트:외국산)}, 기타주류, 물엿, 설탕], 쌀(국산), 김치[백맛묵은지{절임배추(배추:국산)}, 대파(중국산), 콩기름, 설탕, 마늘], 즉석섭취식품[스위트콘(태국산), 양파(중국산), 설탕, 당근, 샐러드베이스], 콩나물, 고구마, 조림류, 양파, 찰기장, 소스1, 양배추, 청상추, 콩기름, 당류가공품, 과채가공품, 깻잎, 당근, 참기름, 소스2, 복합조미식품, 볶음흑임자, 볶음참깨, 고춧가루, 양조간장, 혼합제제(덱스트린, 변성전분, 잔탄검, 구아검), 정제소금, 정제수
[알류(계란), 우유, 땅콩, 대두, 밀, 새우, 돼지고기, 토마토, 호두, 닭고기, 쇠고기, 조개류(굴) 함유]
* 이 제품은 메밀, 고등어, 게, 복숭아, 아황산류, 오징어, 조개류(전복·홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[알류(계란), 우유, 땅콩, 대두, 밀, 새우, 돼지고기, 토마토, 호두, 닭고기, 쇠고기, 조개류(굴) 함유]",950mg,99g,16g,15g,0g,2.9g,35mg,25g,48%,31%,16%,28%,-%,19%,12%,45%,즉석섭취식품,㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6,,,
숯불 소이 불고기 유부 채 샐러드 M,도시락/덮밥,300샐러드Meal&정성한상 MIX식단(4주),"총 내용량 210g, 드레싱34kcal포함 총 286kcal","콩단백숯불직화구이 15.50%, 유부채슬라이스9.64%","원재료명 및 함량 : 신선편의식품[프릴아이스(국산), 적근대(국산), 케일, 라디치오], 콩단백숯불직화구이[소스{양조간장(탈지대두<외국산:인도, 미국, 중국 등>)}, 쌀콩단백(대만산), 대두유], 소스1[설탕,발효식초,양조간장{탈지대두(외국산:인도,미국,중국 등)},미향{레몬식초(레몬농축과즙:이스라엘산)},레몬과즙A], 유부채슬라이스(대두, 대두유, 황산칼슘, 염화칼슘, 염화마그네슘), 방울토마토, 양파, 냉동브로컬리,조림류, 황색파프리카, 소스2, 콩기름, 과채가공품, 참기름, 볶음참깨, 고춧가루
[우유, 대두, 밀, 토마토, 아황산류, 닭고기 함유]
*이 제품은 알류(계란), 메밀, 땅콩, 고등어, 게, 새우, 돼지고기, 복숭아, 호두, 쇠고기, 오징어, 조개류(굴, 전복, 홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[우유, 대두, 밀, 토마토, 아황산류, 닭고기 함유]",813mg,25g,13g,13g,0g,2.6g,0mg,17g,41%,8%,13%,24%,-%,17%,1%,31%,즉석섭취식품,*제조원 : ㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6 *유통전문판매원 : 풀무원식품(주) / 충북 음성군 대소면 삼양로 730-27,,,
칠리 빈 닭 가슴살 소시지 샐러드 M,도시락/덮밥,300샐러드Meal&정성한상 MIX식단(4주),"총 내용량 235g, 드레싱22kcal포함 총 219kcal","아메리칸칠리소스12.77%,닭가슴살페퍼소시지12.77%(닭가슴살 86.68%),베이크드빈스4.26%(강낭콩53%)","원재료명 및 함량 : 신선편의식품[프릴아이스(국산),적근대(국산),케일,라디치오],과채가공품(프랑스산/호박,가지,홍피망,해바라기유),감자(베트남산),쉐프원살사소스(토마토케첩,양파1,다이스드토마토,설탕,청피망),닭가슴살페퍼소시지[닭가슴살(국산),혼합제제1(변성전분,덱스트린),설탕,복합조미식품1,정제소금],토마토드레싱(찹토마토,설탕,발효식초,피쉬액젓,기타과당),베이크드빈스(강낭콩:이탈리아산),콩기름,정제소금
[우유,대두,밀,토마토,닭고기,쇠고기 함유]
*이 제품은 알류(계란), 메밀, 땅콩, 고등어, 게, 새우, 돼지고기, 복숭아, 아황산류, 호두, 오징어, 조개류(굴,전복·홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[우유,대두,밀,토마토,닭고기,쇠고기 함유]",658mg,28g,19g,6g,0g,1.1g,13mg,13g,33%,9%,19%,12%,-%,7%,4%,23%,즉석섭취식품,*제조원 : ㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6 *유통전문판매원 : 풀무원식품(주) / 충북 음성군 대소면 삼양로 730-27,,,
큐브 스테이크 정식,도시락/덮밥,300샐러드Meal&정성한상 MIX식단(4주),"총 내용량 437g, 615kcal","큐브스테이크, 매쉬드포테이토, 2가지 색의 파프리카 / 숙주팽이버섯볶음, 닭가슴살 소세지, 볶음깍두기, 유자단무지&양배추채 / 발아현미밥으로 구성된 도시락","원재료명 및 함량 : 쌀(국산), 분쇄가공육제품[돈후지슬라이스(돼지고기:국산), 소스{혼합간장(탈지대두<외국산:미국산, 중국산>)}, 설탕, 물엿, 옥수수전분], 소시지[닭고기(닭가슴살:국산), 혼합제제1{변성전분(타피오카초산), 덱스트린}, 설탕, 복합조미식품1(정제소금:중국산), 정제소금], 김치(우리땅깍두기, 볶음깍두기용양념, 옥배유, 젖산), 즉석섭취식품, 숙주, 소스1, 팽이버섯, 양송이버섯, 양파, 절임식품, 양배추, 소스2, 발아현미, 황파프리카, 청피망, 과채가공품, 참기름, 콩기름, 소스3, 볶음참깨, 소스4, 파슬리, 양조간장, 정제수
[알류(계란), 우유, 대두, 밀, 돼지고기, 토마토, 닭고기, 쇠고기, 조개류(굴) 함유]
* 이 제품은 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 아황산류, 호두, 오징어, 조개류(전복·홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[알류(계란), 우유, 대두, 밀, 돼지고기, 토마토, 닭고기, 쇠고기, 조개류(굴) 함유]",1080mg,98g,21g,15g,0g,3.9g,40mg,22g,54%,30%,21%,28%,-%,26%,13%,40%,즉석섭취식품,㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6,,,
